Title,Price,Rating,Availability,Reviews
"UBOTIE Colorful Computer Wireless Keyboard Mouse Combos, Typewriter Flexible Keys Office Full-Sized Keyboard, 2.4GHz Dropout-Free Connection and Optical Mouse (Purple-Colorful)",14% wa,4.3 out of 5 stars,In Stock,"17,533 ratings"
"KNOWSQT Wireless Keyboard and Mouse Combo, Blue Colorful 2.4G Typewriter Full-Size Cute Keyboards - USB Receiver Plug and Play, for Computer, PC, Laptop, Desktop, Windows",$39.99,4.4 out of 5 stars,In Stock,"4,006 ratings"
"Amazon Basics Wired Keyboard, Full-Sized, QWERTY Layout, Black",$11.99,4.5 out of 5 stars,In Stock,"7,655 ratings"
"Logitech K270 Wireless Keyboard for Windows, 2.4 GHz Wireless, Full-Size, Number Pad, 8 Multimedia Keys, 2-Year Battery Life, Compatible with PC, Laptop, Black",$19.99,4.5 out of 5 stars,Not available,"108,190 ratings"
"Womier S-K80 75% Keyboard with Color Multimedia Display Mechanical Gaming Keyboard, Wired Hot Swappable Gasket Mount RGB Custom Key Board, Pre-lubed Stabilizer for Mac/Win, Black Kanagawa",$55.99,4.6 out of 5 stars,In Stock,765 ratings
"Logitech MX Keys S Wireless Keyboard, Low Profile, Fluid Precise Quiet Typing, Programmable Keys, Backlighting, Bluetooth, USB C Rechargeable, for Windows PC, Linux, Chrome, Mac - Graphite",$100.2,4.5 out of 5 stars,In Stock,"5,827 ratings"
"SABLUTE Large Print Backlit Keyboard, Wired USB Lighted Computer Keyboards with 7-Color & 4 Modes Backlit, Oversize Letters Keys Easy to See and Type, Quiet Keyboard Compatible for PC, Laptop",$24.99,4.3 out of 5 stars,In Stock,"2,111 ratings"
"Rii RK100+ Multiple Color Rainbow LED Backlit Large Size USB Wired Mechanical Feeling Multimedia PC Gaming Keyboard,Office Keyboard for Working or Primer Gaming,Office Device",,4.3 out of 5 stars,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,"7,164 ratings"
"Redragon Mechanical Gaming Keyboard Wired, 11 Programmable Backlit Modes, Hot-Swappable Red Switch, Anti-Ghosting, Double-Shot PBT Keycaps, Light Up Keyboard for PC Mac",$29.99,4.4 out of 5 stars,In Stock,"2,575 ratings"
"AULA F75 Pro Wireless Mechanical Keyboard,75% Gasket Hot Swappable Custom Keyboard,RGB Backlit,Pre-lubed Reaper Switches,Side Printed PBT Keycaps,2.4GHz/USB-C/BT5.0 Mechanical Gaming Keyboards",$66.31,4.6 out of 5 stars,In Stock,493 ratings
"Gaming Keyboard and Mouse Combo, K1 RGB LED Backlit Keyboard with 104 Key for PC/Laptop(White)",$26.99,4.4 out of 5 stars,In Stock,"14,764 ratings"
"Large Print Keyboard - 7 Interchangeable Backlight Colors, Light Up USB Wired Computer Keyboards, USB Plug-and-Play, Foldable Stands, Corded Full Size Keyboard for Windows, PC, Laptop",$25.99,4.5 out of 5 stars,In Stock,288 ratings
Logitech MK335 Wireless Keyboard and Mouse Combo - Black/Silver,$39.99,4.5 out of 5 stars,In Stock,"8,922 ratings"
"Rii RK907 Ultra-Slim Compact USB Wired Keyboard for Mac and PC,Windows 10/8 / 7 / Vista/XP (Black) (1PCS)",$9.99,4.5 out of 5 stars,In Stock,"1,064 ratings"
SteelSeries Apex 3 RGB Gaming Keyboard – 10-Zone RGB Illumination – IP32 Water Resistant – Premium Magnetic Wrist Rest (Whisper Quiet Gaming Switch),$42.99,4.6 out of 5 stars,In Stock,"12,973 ratings"
"Redragon S101 Gaming Keyboard, M601 Mouse, RGB Backlit Gaming Keyboard, Programmable Backlit Mouse, Value Combo Set [New Version]",$39.99,4.6 out of 5 stars,In Stock,"46,427 ratings"
"KEMOVE K98SE Mechanical Gaming Keyboard, 98 Keys LED Backlit Programmable, 96% Wired Computer Keyboard with Double Sound Dampening Foam, Pre-lubed Red Switch",$39.99,4.2 out of 5 stars,In Stock,705 ratings
"Logitech K585 Multi-Device Slim Wireless Keyboard, Built-in Cradle for Device; for Laptop, Tablet, Desktop, Smartphone, Win/Mac, Bluetooth/Receiver, Compact, Easy Switch, 24 Month Battery - Graphite",$39.99,4.4 out of 5 stars,In Stock,991 ratings
"Camiysn Typewriter Style Mechanical Gaming Keyboard, Pink Retro Punk Gaming Keyboard with White Backlit, 104 Keys Blue Switch Wired Cute Keyboard, Round Keycaps for Windows/Mac/PC",$35.99,4.2 out of 5 stars,In Stock,"5,251 ratings"
"SABLUTE Large Print Backlit Keyboard, Wired USB Lighted Computer Keyboards with 7-Color & 4 Modes Backlit, Oversize Letters Keys Easy to See and Type, Quiet Keyboard Compatible for PC, Laptop",$24.99,4.3 out of 5 stars,In Stock,"2,111 ratings"
"Wireless Keyboard and Mouse Combo - Round Keycaps, Full-Size Retro Typewriter Keyboard with Detachable Wrist Rest, Sleep Mode & Tilt Legs, 2.4GHz Cordless Connection for Mac/Windows/PC (Hot Pink)",$33.99,4.3 out of 5 stars,In Stock,"1,016 ratings"
"Amazon Basics Ultra Premium Wireless Keyboard and Mouse Combo - Rechargeable, Ultra Slim Design, Quiet, Full Size, Number Pad, QWERTY, Black",$29.99,4.1 out of 5 stars,In Stock,"1,263 ratings"
